timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
972302966,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
972377844,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
972515309,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
972605301,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
972717844,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
972907807,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
972952786,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
973022706,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
973117672,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
973232756,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
973322745,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
973392629,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
973507589,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
973652527,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
973742506,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
973862476,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
973932484,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
974002479,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
974202487,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
974227410,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
974537485,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
974657304,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
974677411,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
974742398,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
974849111,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
974892317,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
974992232,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
975147234,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
975257233,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
975397213,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
975447171,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
975542122,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
975642105,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
975752166,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
975822080,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
975917022,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
976061976,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
976111965,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
976251960,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
976321920,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
976366967,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
976516871,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
976661936,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
976736871,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
976782045,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
976926910,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
977146735,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
977196711,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
977236728,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
977326727,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
