timestamp,timestamp_sample,x,y,z,r,flaps,aux1,aux2,aux3,aux4,aux5,aux6,valid,data_source,sticks_moving
892881090,892880119,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
893096061,893095092,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
893280975,893280006,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
893501004,893500015,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
893670908,893669930,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
893890998,893889892,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
894085786,894084817,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
894295795,894294805,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
894485720,894484735,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
894650674,894649703,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
894900666,894899646,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
895070590,895069615,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
895285538,895284565,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
895500497,895499499,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
895660478,895659503,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
895860491,895659503,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
896085460,896084436,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
896300284,896299312,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
896462211,896434312,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
896690331,896689347,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
896835200,896834190,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
897070278,897069304,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
897260167,897259090,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
897500047,897499042,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
897524999,897524029,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
897899932,897898961,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
898034883,898033914,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
898279979,898278928,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
898496638,898443901,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
898694767,898693798,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
898874681,898873712,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
899084642,899083669,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
899239625,899238648,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
899474830,899473590,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
899672254,899671246,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
899899479,899898508,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
900044430,900043456,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
900284370,900283400,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
900489315,900488345,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
900649356,900648336,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
900894222,900893253,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
901089186,901088217,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
901289191,901288190,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
901479195,901478181,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
901530944,901478181,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
901899020,901898048,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
902101471,902100494,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
902284024,902283051,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
902478928,902477947,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
902668829,902667859,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
